rank,company,symbol,ytd_return
179,Dominion Energy,D,14.09
180,Consolidated Edison,ED,14.00
181,Fox Corporation (Class B),FOX,13.93
182,Eaton Corporation,ETN,13.81
183,CSX Corporation,CSX,13.63
184,Realty Income,O,13.54
185,Trane Technologies,TT,13.27
186,Hartford (The),HIG,13.21
187,PulteGroup,PHM,13.20
188,BlackRock,BLK,13.16
189,Kroger,KR,13.08
190,Genuine Parts Company,GPC,12.89
191,Baker Hughes,BKR,12.82
192,CMS Energy,CMS,12.66
193,Nordson Corporation,NDSN,12.63
194,Boston Scientific,BSX,12.55
195,PTC Inc.,PTC,11.96
196,Humana,HUM,11.94
197,AES Corporation,AES,11.89
198,Albemarle Corporation,ALB,11.69
199,Franklin Resources,BEN,11.63
200,Trimble Inc.,TRMB,11.21
201,Synchrony Financial,SYF,11.17
202,Cigna,CI,11.12
203,Mettler Toledo,MTD,10.92
204,"Tesla, Inc.",TSLA,10.79
205,Freeport-McMoRan,FCX,10.79
206,Teradyne,TER,10.54
207,Yum! Brands,YUM,10.44
208,Solventum,SOLV,10.31
209,Travelers Companies (The),TRV,10.11
210,D. R. Horton,DHI,9.97
211,Hershey Company (The),HSY,9.96
212,Coca-Cola Company (The),KO,9.93
213,Cadence Design Systems,CDNS,9.71
214,Republic Services,RSG,9.42
215,Pinnacle West,PNW,9.39
216,Datadog,DDOG,9.38
217,Deere & Company,DE,9.14
218,Berkshire Hathaway,BRK.B,9.00
219,Visa Inc.,V,8.98
220,Crown Castle,CCI,8.94
221,General Motors,GM,8.88
222,Corteva,CTVA,8.81
223,Qualcomm,QCOM,8.74
224,Expeditors International,EXPD,8.73
225,Pentair,PNR,8.60
226,IQVIA,IQV,7.91
227,Linde plc,LIN,7.86
228,Cincinnati Financial,CINF,7.79
229,Textron,TXT,7.73
230,Mohawk Industries,MHK,7.65
231,Mastercard,MA,7.56
232,Expand Energy,EXE,7.38
233,Hewlett Packard Enterprise,HPE,7.12
234,Vici Properties,VICI,6.85
235,Waste Management,WM,6.74
236,American International Group,AIG,6.72
237,Chevron Corporation,CVX,6.66
238,Agilent Technologies,A,6.45
239,Raymond James Financial,RJF,6.21
240,McDonald's,MCD,6.17
241,DuPont,DD,6.16
242,Stryker Corporation,SYK,5.88
243,Intuit,INTU,5.77
244,NXP Semiconductors,NXPI,5.76
245,Sempra,SRE,5.70
246,Hilton Worldwide,HLT,5.62
247,Willis Towers Watson,WTW,5.37
248,American Tower,AMT,5.27
249,Cintas,CTAS,5.27
250,Emerson Electric,EMR,5.18
251,Mondelez International,MDLZ,5.16
252,Aflac,AFL,5.15
253,Lilly (Eli),LLY,4.79
254,ExxonMobil,XOM,4.77
255,Apple Inc.,AAPL,4.72
256,CoStar Group,CSGP,4.71
257,Thermo Fisher Scientific,TMO,4.54
258,Sysco,SYY,4.50
259,United Airlines Holdings,UAL,4.32
260,T-Mobile US,TMUS,4.24
261,Intercontinental Exchange,ICE,4.21
262,Tractor Supply,TSCO,4.20
263,Autodesk,ADSK,4.19
264,Public Storage,PSA,4.13
265,Lockheed Martin,LMT,4.11
266,Ross Stores,ROST,4.09
267,Vertex Pharmaceuticals,VRTX,4.07
268,Ametek,AME,3.96
269,Simon Property Group,SPG,3.64
270,Booking Holdings,BKNG,3.49
271,Wabtec,WAB,3.44
272,Hubbell Incorporated,HUBB,3.05
273,TransDigm Group,TDG,2.71
274,Keysight Technologies,KEYS,2.56
275,Kellanova,K,2.56
276,Williams-Sonoma,WSM,2.51
277,Southwest Airlines,LUV,2.41
278,A. O. Smith,AOS,2.35
279,Regions Financial Corporation,RF,2.30
280,Costco,COST,2.17
281,Veralto,VLTO,2.09
282,Delta Air Lines,DAL,2.07
283,Broadridge Financial Solutions,BR,2.03
284,Verizon,VZ,2.03
285,Principal Financial Group,PFG,2.02
286,Edwards Lifesciences,EW,1.70
287,KeyCorp,KEY,1.40
288,Extra Space Storage,EXR,1.25
289,PepsiCo,PEP,1.04
290,NetApp,NTAP,1.00
291,Match Group,MTCH,0.83
292,Domino's,DPZ,0.76
293,Iron Mountain,IRM,0.68
294,Darden Restaurants,DRI,0.66
295,Walt Disney Company (The),DIS,0.55
296,Allstate,ALL,0.52
297,Kinder Morgan,KMI,0.44
298,Snap-on,SNA,0.41
299,Public Service Enterprise Group,PEG,0.40
300,Moody's Corporation,MCO,0.23
301,Truist Financial,TFC,0.16
302,Home Depot (The),HD,-0.03
303,Charles River Laboratories,CRL,-0.25
304,Hologic,HOLX,-0.31
305,Union Pacific Corporation,UNP,-0.32
306,Illinois Tool Works,ITW,-0.47
307,Fifth Third Bancorp,FITB,-1.14
308,Otis Worldwide,OTIS,-1.19
309,Amazon,AMZN,-1.33
310,U.S. Bancorp,USB,-1.53
311,News Corp (Class B),NWS,-1.61
312,Arthur J. Gallagher & Co.,AJG,-1.62
313,CF Industries,CF,-1.63
314,Lamb Weston,LW,-1.74
315,Lowe's,LOW,-1.84
316,Paycom,PAYC,-1.89
317,Assurant,AIZ,-1.91
318,Regency Centers,REG,-2.33
319,Devon Energy,DVN,-2.44
320,Gen Digital,GEN,-2.48
321,Digital Realty,DLR,-2.49
322,Sherwin-Williams,SHW,-2.56
323,APA Corporation,APA,-2.60
324,Huntington Bancshares,HBAN,-2.64
325,Roper Technologies,ROP,-2.69
326,Zimmer Biomet,ZBH,-2.74
327,Chubb Limited,CB,-2.93
328,SBA Communications,SBAC,-2.96
329,Motorola Solutions,MSI,-2.98
330,J.B. Hunt,JBHT,-3.03
331,M&T Bank,MTB,-3.16
332,Las Vegas Sands,LVS,-3.17
333,Everest Group,EG,-3.18
334,Airbnb,ABNB,-3.20
335,Automatic Data Processing,ADP,-3.31
336,GE HealthCare,GEHC,-3.45
337,MetLife,MET,-3.83
338,News Corp (Class A),NWSA,-3.99
339,Elevance Health,ELV,-4.02
340,S&P Global,SPGI,-4.10
341,Biogen,BIIB,-4.11
342,Aon,AON,-4.19
343,Texas Instruments,TXN,-4.23
344,J.M. Smucker Company (The),SJM,-4.32
345,Lennar,LEN,-4.67
346,Interpublic Group of Companies (The),IPG,-4.96
347,"BXP, Inc.",BXP,-4.96
348,Masco,MAS,-5.32
349,PNC Financial Services,PNC,-5.54
350,Best Buy,BBY,-5.58
351,Arch Capital Group,ACGL,-5.83
352,Host Hotels & Resorts,HST,-5.88
353,Dayforce,DAY,-6.00
